,0,1,2
1396,phantasmagorical,{'Adjective': ['characterized by fantastic imagery and incongruous juxtapositions']},"['phantasmagoric', 'surrealistic', 'unrealistic', 'surreal']"
1397,noble,"{'Noun': ['a titled peer of the realm'], 'Adjective': ['impressive in appearance', 'of or belonging to or constituting the hereditary aristocracy especially as derived from feudal times', 'having or showing or indicative of high or elevated character', 'inert especially toward oxygen']}","['stately', 'imposing', 'impressive', 'baronial']"
1398,sojourn,"{'Noun': ['a temporary stay (e.g., as a guest'], 'Verb': ['spend a certain length of time; reside temporarily']}","['stay', 'visit']"
1399,derision,"{'Noun': ['contemptuous laughter', 'the act of deriding or treating with contempt']}","['jeer', 'takedown', 'discourtesy', 'squelch', 'scoffing', 'befooling', 'jeering', 'squelcher', 'scoff', 'stultification', 'put-down', 'disrespect', 'mockery']"
1400,germinate,"{'Verb': ['produce buds, branches, or germinate', 'work out', 'cause to grow or sprout']}","['grow', 'shoot', 'burgeon forth', 'sprout', 'bourgeon', 'spud', 'pullulate']"
1401,adverse,"{'Adjective': ['contrary to your interests or welfare', 'in an opposing direction']}","['untoward', 'unfavorable', 'inauspicious', 'unfavourable']"
1402,abstemious,"{'Adjective': ['sparing in consumption of especially food and drink', 'marked by temperance in indulgence']}","['light', 'temperate']"
1403,improvident,"{'Adjective': ['not provident; not providing for the future', 'not given careful consideration']}","['imprudent', 'ill-considered', 'shortsighted', 'ill-judged']"
1404,resurgent,{'Adjective': ['rising again as to new life and vigor']},"['revived', 'renascent']"
1405,privation,"{'Noun': ['a state of extreme poverty', 'act of depriving someone of food or money or rights']}","['starvation', 'pauperisation', 'pauperization', 'social control', 'impoverishment', 'deprivation', 'starving']"
1406,ravenous,"{'Adjective': ['extremely hungry', 'devouring or craving food in great quantities']}","['ravening', 'edacious', 'esurient', 'voracious', 'rapacious', 'gluttonous', 'wolfish']"
1407,obtuse,"{'Adjective': ['of an angle; between 90 and 180 degrees', '(of a leaf shape', 'lacking in insight or discernment', 'slow to learn or understand; lacking intellectual acuity']}","['undiscerning', 'purblind']"
1408,exigent,"{'Adjective': ['demanding attention', 'requiring precise accuracy']}","['instant', 'imperative', 'clamant', 'crying', 'insistent']"
1409,erroneous,{'Adjective': ['containing or characterized by error']},"['incorrect', 'wrong']"
1410,curb,"{'Noun': ['an edge between a sidewalk and a roadway consisting of a line of curbstones (usually forming part of a gutter', ""a horse's bit with an attached chain or strap to check the horse"", 'a stock exchange in New York', 'the act of restraining power or action or limiting excess'], 'Verb': ['lessen the intensity of; temper; hold in restraint; hold or keep within limits', 'keep to the curb', 'place restrictions on']}","['curbing', 'kerb', 'edge', 'curbstone', 'kerbstone']"
1411,convoluted,"{'Verb': ['curl, wind, or twist together', 'practice sophistry; change the meaning of or be vague about in order to mislead or deceive'], 'Adjective': ['rolled longitudinally upon itself', 'highly complex or intricate and occasionally devious']}","['involved', 'knotty', 'complex', 'Byzantine', 'tortuous', 'tangled']"
1412,beseech,{'Verb': ['ask for or request earnestly']},"['conjure', 'adjure', 'entreat', 'press', 'plead', 'bid']"
1413,stilted,{'Adjective': ['artificially formal']},"['contrived', 'hokey', 'affected', 'artificial', 'unnatural']"
1414,indomitable,{'Adjective': ['impossible to subdue']},"['unconquerable', 'unsubduable', 'never-say-die']"
1415,pre-empt,{'Noun': ['a high bid that is intended to prevent the opposing players from bidding']},"['bidding', 'bid', 'preempt', 'preemptive bid']"
1416,solecism,{'Noun': ['a socially awkward or tactless act']},"['blunder', 'blooper', 'bloomer', 'bungle', 'gaucherie', 'slip', 'foul-up', 'pratfall', 'botch', 'boner', 'gaffe', 'flub', 'faux pas', 'boo-boo', 'fuckup']"
1417,harmonious,"{'Adjective': ['musically pleasing', 'exhibiting equivalence or correspondence among constituents of an entity or between different entities', 'suitable and fitting', 'existing together in harmony']}","['proportionate', 'balanced', 'symmetrical']"
1418,pique,"{'Noun': ['tightly woven fabric with raised cords', 'a sudden outburst of anger'], 'Verb': ['cause to feel resentment or indignation']}","['textile', 'material', 'cloth', 'fabric']"
1419,adamant,"{'Noun': ['very hard native crystalline carbon valued as a gem'], 'Adjective': ['impervious to pleas, persuasion, requests, reason']}","['inflexible', 'inexorable', 'intransigent', 'adamantine']"
1420,burnish,"{'Noun': ['the property of being smooth and shiny'], 'Verb': ['polish and make shiny']}","['radiancy', 'refulgence', 'smoothness', 'effulgence', 'polish', 'radiance', 'refulgency', 'glossiness', 'French polish', 'gloss', 'glaze', 'shine']"
1421,wanting,"{'Verb': ['feel or have a desire for; want strongly', 'have need of', 'hunt or look for; want for a particular reason', 'wish or demand the presence of', 'be without, lack; be deficient in'], 'Adjective': ['nonexistent', 'inadequate in amount or degree']}","['inadequate', 'lacking', 'unequal', 'deficient']"
1422,denounce,"{'Verb': ['speak out against', 'to accuse or condemn or openly or formally or brand as disgraceful', 'announce the termination of, as of treaties', 'give away information about somebody']}","['criticize', 'objurgate', 'reprobate', 'excoriate', 'rail', 'criticise', 'pick apart', 'condemn', 'fulminate', 'decry', 'knock']"
1423,alchemy,"{'Noun': ['the way two individuals relate to each other', 'a pseudoscientific forerunner of chemistry in medieval times']}",['pseudoscience']
1424,exuberant,"{'Adjective': ['joyously unrestrained', 'unrestrained, especially with regard to feelings', 'produced or growing in extreme abundance']}","['spirited', 'ebullient', 'high-spirited']"
1425,hallmark,"{'Noun': ['a distinctive characteristic or attribute', 'a mark on an article of trade to indicate its origin and authenticity']}","['trademark', 'characteristic', 'earmark', 'mold', 'stylemark', 'mould']"
1426,piebald,{'Adjective': ['having sections or patches colored differently and usually brightly']},"['multicoloured', 'painted', 'colorful', 'multi-colored', 'particoloured', 'particolored', 'coloured', 'varicolored', 'multicolour', 'calico', 'multi-colour', 'multicolored', 'multi-coloured', 'multi-color', 'varicoloured', 'multicolor', 'colored', 'motley', 'pied']"
1427,proximity,"{'Noun': ['the property of being close together', 'the region close around a person or thing', 'a Gestalt principle of organization holding that (other things being equal', 'in space or time']}","['closeness', 'nearness', 'propinquity']"
1428,chagrin,"{'Noun': ['strong feelings of embarrassment'], 'Verb': ['cause to feel shame; hurt the pride of']}","['embarrassment', 'humiliation', 'mortification']"
1429,turpitude,{'Noun': ['a corrupt or depraved or degenerate act or practice']},"['transgression', 'evildoing', 'depravity']"
1430,principled,{'Adjective': ['based on or manifesting objectively defined standards of rightness or morality']},"['high-principled', 'scrupulous']"
1431,alacrity,{'Noun': ['liveliness and eagerness']},"['spirit', 'sprightliness', 'briskness', 'liveliness', 'life', 'smartness']"
1432,gossamer,"{'Noun': ['a gauze fabric with an extremely fine texture', 'filaments from a web that was spun by a spider'], 'Adjective': ['characterized by unusual lightness and delicacy', 'so thin as to transmit light']}","['delicate', 'ethereal']"
1433,meddle,"{'Verb': [""intrude in other people's affairs or business; interfere unwantedly""]}","['step in', 'interfere', 'intervene', 'interpose', 'tamper']"
1434,fitful,"{'Adjective': ['occurring in spells and often abruptly', 'intermittently stopping and starting', 'or interrupted']}","['sporadic', 'spasmodic']"
1435,overt,{'Adjective': ['open and observable; not secret or hidden']},"['naked', 'bald', 'expressed', 'explicit', 'raw', 'undisguised', 'open', 'barefaced', 'visible', 'public', 'unconcealed']"
1436,stoic,"{'Noun': ['a member of the ancient Greek school of philosophy founded by Zeno', 'someone who is seemingly indifferent to emotions'], 'Adjective': ['seeming unaffected by pleasure or pain; impassive', 'pertaining to Stoicism or its followers']}","['unemotional', 'stoical']"
1437,staunch,"{'Verb': ['stop the flow of a liquid'], 'Adjective': ['firm and dependable especially in loyalty']}","['unswerving', 'constant', 'steadfast']"
1438,promulgate,"{'Verb': ['state or announce', 'put a law into effect by formal declaration']}","['declare', 'announce']"
1439,distraught,{'Adjective': ['deeply agitated especially from emotion']},"['agitated', 'overwrought']"
1440,derivative,"{'Noun': ['the result of mathematical differentiation; the instantaneous change of one quantity relative to another; df(x', 'a compound obtained from, or regarded as derived from, another compound', 'a financial instrument whose value is based on another security', '(linguistics'], 'Adjective': ['resulting from or employing derivation']}","['figuring', 'curvature', 'partial derivative', 'computation', 'derived function', 'first derivative', 'calculation', 'differential', 'partial', 'differential coefficient', 'reckoning']"
1441,woo,"{'Verb': [""seek someone's favor"", 'make amorous advances towards']}",['court']
1442,captious,{'Adjective': ['tending to find and call attention to faults']},"['faultfinding', 'critical']"
1443,collaborate,"{'Verb': ['work together on a common enterprise of project', 'cooperate as a traitor']}","['play along', 'go along', 'cooperate', 'join forces', 'get together', 'work']"
1444,choleric,"{'Adjective': ['easily moved to anger', 'quickly aroused to anger', 'characterized by anger']}","['hot-tempered', 'ill-natured', 'short-tempered', 'irascible', 'hotheaded', 'quick-tempered']"
1445,egotist,{'Noun': ['a conceited and self-centered person']},"['egoist', 'bragger', 'show-off', 'egomaniac', 'know-it-all', 'boaster', 'megalomaniac', 'disagreeable person', 'blowhard', 'swellhead', 'popinjay', 'vaunter', 'unpleasant person', 'miles gloriosus', 'braggart', 'exhibitionist', 'know-all', 'line-shooter']"
1446,restive,"{'Adjective': ['being in a tense state', 'impatient especially under restriction or delay']}","['tense', 'highly strung', 'jumpy', 'high-strung', 'jittery', 'uptight', 'edgy', 'overstrung', 'nervy']"
1447,savvy,"{'Noun': ['the cognitive condition of someone who understands'], 'Verb': ['get the meaning of something']}","['twig', 'get wise', 'compass', 'tumble', 'get the picture', 'latch on', 'comprehend', 'get onto', 'catch on', 'get it', 'understand', 'digest', 'dig', 'cotton on', 'grasp', 'grok', 'apprehend', 'figure', 'intuit']"
1448,lumber,"{'Noun': ['the wood of trees cut and prepared for use as building material', 'an implement used in baseball by the batter'], 'Verb': ['move heavily or clumsily', 'cut lumber, as in woods and forests']}","['board', 'building material', 'timber', 'plank', 'strip', 'stock', 'wood', 'planking']"
1449,forbearance,"{'Noun': ['good-natured tolerance of delay or incompetence', 'a delay in enforcing rights or claims or privileges; refraining from acting']}","['delay', 'holdup']"
1450,obstinate,"{'Verb': ['persist stubbornly'], 'Adjective': ['tenaciously unwilling or marked by tenacious unwillingness to yield', 'stubbornly persistent in wrongdoing', 'resistant to guidance or discipline']}","['unregenerate', 'unrepentant', 'unregenerated', 'obdurate', 'cussed']"
1451,premonition,"{'Noun': ['a feeling of evil to come', 'an early warning about a future event']}","['foreboding', 'presage', 'shadow', 'presentiment', 'boding', 'dread', 'apprehension', 'apprehensiveness']"
1452,indebted,"{'Adjective': ['owing gratitude or recognition to another for help or favors etc', 'under a legal obligation to someone']}",['obligated']
1453,comity,{'Noun': ['a state or atmosphere of harmony or mutual civility and respect']},"['comity of nations', 'concord', 'concordance', 'harmony']"
1454,slack,"{'Noun': ['dust consisting of a mixture of small coal fragments and coal dust and dirt that sifts out when coal is passed over a sieve', 'a noticeable deterioration in performance or quality', 'a stretch of water without current or movement', 'a soft wet area of low-lying land that sinks underfoot', 'the quality of being loose (not taut', 'a cord or rope or cable that is hanging loosely'], 'Verb': ['avoid responsibilities and work, be idle', 'be inattentive to, or neglect', 'release tension on', 'make less active or fast', 'become slow or slower', 'make less active or intense', 'become less in amount or intensity', 'cause to heat and crumble by treatment with water'], 'Adjective': ['not tense or taut', 'flowing with little speed as e.g. at the turning of the tide', 'lacking in rigor or strictness']}","['lax', 'loose']"
1455,congenial,"{'Adjective': ['suitable to your needs', '(used of plants']}",['compatible']
1456,doggedness,{'Noun': ['persistent determination']},"['tenacity', 'perseverance', 'tenaciousness', 'determination', 'persistence', 'pertinacity', 'persistency', 'purpose']"
1457,buck,"{'Noun': ['a gymnastic horse without pommels and with one end elongated; used lengthwise for vaulting', 'a piece of paper money worth one dollar', 'United States author whose novels drew on her experiences as a missionary in China (1892-1973', 'a framework for holding wood that is being sawed', 'mature male of various mammals (especially deer or antelope'], 'Verb': ['to strive with determination', 'resist', 'move quickly and violently', 'jump vertically, with legs stiff and back arched']}","['strive', 'endeavour', 'endeavor']"
1458,opulent,{'Adjective': ['ostentatiously rich and superior in quality']},"['sumptuous', 'gilded', 'rich', 'deluxe', 'luxurious', 'princely', 'grand']"
1459,bromide,"{'Noun': ['any of the salts of hydrobromic acid; formerly used as a sedative but now generally replaced by safer drugs', 'a trite or obvious remark']}","['cliche', 'remark', 'banality', 'commonplace', 'comment', 'truism', 'platitude', 'input']"
1460,cordial,"{'Noun': ['strong highly flavored sweet liquor usually drunk after a meal'], 'Adjective': ['diffusing warmth and friendliness', 'politely warm and friendly', 'sincerely or intensely felt']}","['affable', 'genial', 'amiable', 'friendly']"
1461,aseptic,{'Adjective': ['free of or using methods to keep free of pathological microorganisms']},"['sterile', 'antiseptic']"
1462,mannered,{'Adjective': ['having unnatural mannerisms']},"['unnatural', 'affected']"
1463,respectively,{'Adverb': ['in the order given']},['severally']
1464,pyrrhic,"{'Noun': ['a metrical unit with unstressed-unstressed syllables', 'an ancient Greek dance imitating the motions of warfare'], 'Adjective': ['of or relating to a war dance of ancient Greece', 'of or relating to or containing a metrical foot of two unstressed syllables', 'of or relating to or resembling Pyrrhus or his exploits (especially his sustaining staggering losses in order to defeat the Romans']}","['foot', 'metrical unit', 'metrical foot', 'dibrach']"
1465,coddle,"{'Verb': ['treat with excessive indulgence', 'cook in nearly boiling water']}","['pamper', 'do by', 'cosset', 'spoil', 'handle', 'baby', 'indulge', 'treat', 'mollycoddle', 'cocker', 'featherbed']"
1466,undulate,"{'Verb': ['stir up (water', 'occur in soft rounded shapes', 'move in a wavy pattern or with a rising and falling motion', 'increase and decrease in volume or pitch, as if in waves'], 'Adjective': ['having a wavy margin and rippled surface']}","['turn up', 'ripple', 'flux', 'fold up', 'cockle', 'riffle', 'fold', 'flow', 'ruffle']"
1467,arduous,"{'Adjective': ['characterized by effort to the point of exhaustion; especially physical effort', 'taxing to the utmost; testing powers of endurance', 'difficult to accomplish; demanding considerable mental effort and skill']}","['heavy', 'effortful', 'hard', 'punishing', 'operose', 'laborious', 'backbreaking', 'gruelling', 'toilsome', 'grueling']"
1468,orthodox,"{'Adjective': ['of or pertaining to or characteristic of Judaism', 'adhering to what is commonly accepted', 'of or relating to or characteristic of the Eastern Orthodox Church']}","['traditional', 'canonic', 'conforming', 'conservative', 'canonical', 'sanctioned', 'conformist', 'antiheretical', 'orthodoxy', 'standard', 'established', 'conventional', 'unreformed']"
1469,disenfranchise,{'Verb': ['deprive of voting rights']},"['disfranchise', 'deprive']"
1470,staple,"{'Noun': ['(usually in the plural', 'a natural fiber (raw cotton, wool, hemp, flax', 'material suitable for manufacture or use or finishing', 'a short U-shaped wire nail for securing cables', 'paper fastener consisting of a short length of U-shaped wire that can fasten papers together'], 'Verb': ['secure or fasten with a staple or staples'], 'Adjective': ['necessary or important, especially regarding food or commodities']}","['good', 'commodity', 'basic', 'trade good']"
1471,belfry,"{'Noun': ['a bell tower; usually stands alone unattached to a building', 'a room (often at the top of a tower']}","['campanile', 'bell tower']"
1472,articulate,"{'Verb': ['provide with a joint', 'put into words or an expression', 'speak, pronounce, or utter in a certain way', 'unite by forming a joint or joints', 'express or state clearly'], 'Adjective': ['expressing yourself easily or characterized by clear expressive language', 'consisting of segments held together by joints']}","['eloquent', 'facile', 'fluent', 'speech-endowed', 'communicatory', 'spoken', 'smooth-spoken', 'silver', 'well-spoken', 'silver-tongued', 'communicative']"
1473,distill,"{'Verb': ['remove impurities from, increase the concentration of, and separate through the process of distillation', 'undergo the process of distillation', 'extract by the process of distillation', 'undergo condensation; change from a gaseous to a liquid state and fall in drops', 'give off (a liquid']}","['rectify', 'purge', 'better', 'make pure', 'improve', 'refine', 'purify', 'meliorate', 'distil', 'sublimate', 'ameliorate', 'amend']"
1474,enervating,"{'Verb': ['weaken mentally or morally', 'disturb the composure of'], 'Adjective': ['causing debilitation']}","['debilitating', 'debilitative', 'enfeebling', 'weakening']"
1475,audacity,"{'Noun': ['fearless daring', 'aggressive boldness or unmitigated effrontery']}","['nerve', 'presumption', 'assumption', 'brass', 'boldness', 'effrontery', 'face', 'presumptuousness', 'cheek', 'audaciousness']"
1476,palatable,{'Adjective': ['acceptable to the taste or mind']},"['comestible', 'appetizing', 'tasty', 'toothsome', 'eatable', 'appetising', 'edible']"
1477,untoward,"{'Adjective': ['not in keeping with accepted standards of what is right or proper in polite society', 'contrary to your interests or welfare']}","['indecent', 'indecorous', 'unseemly', 'improper', 'unbecoming', 'uncomely']"
1478,subsequent,{'Adjective': ['following in time or order']},"['succeeding', 'accompanying', 'incidental', 'attendant', 'ensuant', 'ulterior', 'sequent', 'posterior', 'consequent', 'concomitant', 'resultant', 'later']"
1479,caustic,"{'Noun': ['any chemical substance that burns or destroys living tissue'], 'Adjective': ['harsh or corrosive in tone', 'of a substance, especially a strong acid; capable of destroying or eating away by chemical action']}","['unpleasant', 'acrid', 'acerb', 'vitriolic', 'virulent', 'bitter', 'blistering', 'sulphurous', 'sulfurous', 'acid', 'acerbic']"
1480,conglomerate,"{'Noun': ['a composite rock made up of particles of varying size', 'a group of diverse companies under common ownership and run as a single organization'], 'Verb': ['collect or gather'], 'Adjective': ['composed of heterogeneous elements gathered into a mass']}",['combined']
1481,bereft,"{'Verb': ['deprive through death'], 'Adjective': ['unhappy in love; suffering from unrequited love', 'sorrowful through loss or deprivation']}","['unbeloved', 'unloved', 'lovelorn']"
1482,spearhead,"{'Noun': ['someone who leads or initiates an activity (attack or campaign etc.', 'the leading military unit in an attack', 'the head and sharpened point of a spear'], 'Verb': ['be the leader of']}","['head', 'lead']"
1483,reconciliation,"{'Noun': ['the reestablishing of cordial relations', 'getting two things to correspond']}","['cooperation', 'rapprochement']"
1484,treacly,{'Adjective': ['overly sweet']},"['sweet', 'saccharine', 'syrupy', 'cloying']"
1485,falter,"{'Noun': ['the act of pausing uncertainly'], 'Verb': ['be unsure or weak', 'move hesitatingly, as if about to give way', 'walk unsteadily', 'speak haltingly']}","['waver', 'waffle', 'hesitate']"
1486,utilitarian,"{'Noun': ['someone who believes that the value of a thing depends on its utility'], 'Adjective': ['having a useful function', 'having utility often to the exclusion of values']}","['functional', 'useful']"
1487,hierarchy,"{'Noun': ['a series of ordered groupings of people or things within a system', 'the organization of people at different ranks in an administrative body']}","['celestial hierarchy', 'scheme', 'system', 'data hierarchy', 'taxonomy', 'series']"
1488,filigree,"{'Noun': ['delicate and intricate ornamentation (usually in gold or silver or other fine twisted wire'], 'Verb': ['make filigree, as with a precious metal']}","['filagree', 'fillagree', 'embellishment']"
1489,concupiscence,{'Noun': ['a desire for sexual intimacy']},"['lustfulness', 'satyriasis', 'sensualism', 'amorousness', 'physical attraction', 'eroticism', 'passion', 'anaphrodisia', 'sexual love', 'lecherousness', 'libido', 'amativeness', 'love', 'sensuality', 'fetish', 'lust', 'aphrodisia', 'erotic love', 'sexual desire', 'sensualness', 'sexiness', 'the hots', 'eros', 'nymphomania', 'desire', 'erotism']"
1490,quash,"{'Verb': ['put down by force or intimidation', 'declare invalid']}","['oppress', 'subjugate', 'repress', 'crush', 'suppress', 'reduce', 'keep down', 'subdue']"
1491,encompass,"{'Verb': [""include in scope; include as part of something broader; have as one's sphere or territory""]}","['address', 'include', 'handle', 'deal', 'treat', 'comprehend', 'plow', 'embrace', 'cover']"
1492,sufficient,{'Adjective': ['of a quantity that can fulfill a need or requirement but without being abundant']},"['enough', 'quantity', 'comfortable', 'decent', 'ample', 'adequate']"
1493,martinet,{'Noun': ['someone who demands exact conformity to rules and forms']},"['moralist', 'stickler', 'dictator', 'disciplinarian', 'authoritarian']"
1494,acrimony,{'Noun': ['a rough and bitter manner']},"['thorniness', 'jaundice', 'tartness', 'disagreeableness', 'acerbity', 'bitterness']"
1495,symbiosis,{'Noun': ['the relation between two different species of organisms that are interdependent; each gains benefits from the other']},"['interdependence', 'interdependency', 'trophobiosis', 'mutuality', 'mutualism']"
1496,veneer,"{'Noun': ['coating consisting of a thin layer of superior wood glued to a base of inferior wood', 'an ornamental coating to a building'], 'Verb': ['cover with veneer']}","['coat', 'veneering', 'coating']"
1497,cardinal,"{'Noun': ['(Roman Catholic Church', 'the number of elements in a mathematical set; denotes a quantity but not the order', 'a variable color averaging a vivid red', 'crested thick-billed North American finch having bright red plumage in the male'], 'Adjective': ['serving as an essential component', 'being or denoting a numerical quantity but not order']}","['key', 'of import', 'central', 'fundamental', 'important', 'primal']"
1498,factitious,{'Adjective': ['not produced by natural forces']},"['unreal', 'artificial']"
1499,substantiate,"{'Verb': ['establish or strengthen as with new evidence or facts', 'represent in bodily form', 'make real or concrete; give reality or substance to', 'solidify, firm, or strengthen']}","['back', 'affirm', 'verify', 'vouch', 'support', 'sustain', 'show', 'demonstrate', 'confirm', 'prove', 'shew', 'establish', 'validate', 'corroborate', 'document', 'back up']"
1500,vigor,"{'Noun': ['forceful exertion', 'active strength of body or mind', 'an imaginative lively style (especially style of writing']}","['vigour', 'strength', 'strenuosity', 'athleticism', 'energy', 'force', 'forcefulness', 'zip']"
1501,lexicography,{'Noun': ['the act of writing dictionaries']},"['composition', 'authorship', 'penning', 'writing']"
1502,negate,"{'Verb': ['be in contradiction with', 'deny the truth of', 'prove negative; show to be false', 'make ineffective by counterbalancing the effect of']}","['neutralise', 'neutralize', 'weaken', 'nullify']"
1503,raillery,{'Noun': ['light teasing repartee']},"['repartee', 'banter', 'give-and-take', 'persiflage', 'badinage', 'backchat']"
1504,unstinting,{'Adjective': ['very generous']},"['unstinted', 'overgenerous', 'munificent', 'lavish', 'too-generous', 'unsparing', 'generous']"
1505,hallow,{'Verb': ['render holy by means of religious rites']},"['bless', 'reconsecrate', 'sanctify', 'consecrate', 'declare']"
1506,cornucopia,"{'Noun': [""a goat's horn filled with grain and flowers and fruit symbolizing prosperity"", 'the property of being extremely abundant']}","['verdure', 'teemingness', 'wilderness', 'richness', 'greenness', 'profuseness', 'overgrowth', 'profusion', 'verdancy', 'abundance', 'copiousness']"
1507,milquetoast,{'Noun': ['a timid man or boy considered childish or unassertive']},"['pansy', 'coward', 'milksop', 'sissy', 'pantywaist']"
1508,malign,"{'Verb': ['speak unfavorably about'], 'Adjective': ['evil or harmful in nature or influence', 'having or exerting a malignant influence']}","['malignance', 'malignancy', 'malignity', 'cancerous', 'maleficent', 'harmful', 'unkind']"
1509,conventional,"{'Adjective': ['following accepted customs and proprieties', 'conforming with accepted standards', '(weapons', 'unimaginative and conformist', 'represented in simplified or symbolic form', 'in accord with or being a tradition or practice accepted from the past', 'rigidly formal or bound by convention']}","['stodgy', 'convention', 'customary', 'stuffy', 'received', 'unoriginal', 'formal', 'conventionalism', 'conventionality', 'formulaic']"
1510,matriarch,"{'Noun': ['a female head of a family or tribe', 'a feisty older woman with a big bosom (as drawn in cartoons']}","['materfamilias', 'head of household', 'adult female', 'woman']"
1511,beneficence,"{'Noun': ['doing good; feeling beneficent', 'the quality of being kind or helpful or generous']}","['beneficent', 'free grace', 'goodness', 'good', 'grace', 'grace of God']"
1512,imbroglio,"{'Noun': ['an intricate and confusing interpersonal or political situation', 'a very embarrassing misunderstanding']}","['mistaking', 'misunderstanding', 'misinterpretation']"
1513,peccadillo,{'Noun': ['a petty misdeed']},"['misbehaviour', 'misbehavior', 'indiscretion', 'misdeed']"
1514,inconsequential,"{'Adjective': ['lacking worth or importance', 'not following logically as a consequence']}","['inconsequent', 'unimportant']"
1515,outstrip,"{'Verb': ['be or do something to a greater degree', 'go far ahead of']}","['break', 'outperform', 'outcry', 'outrange', 'outmatch', 'surmount', 'outgrow', 'outfox', 'outmarch', 'exceed', 'outsail', 'outdraw', 'outpace', 'outshine', 'outwear', 'outdo', 'better', 'trounce', 'shell', 'outbrave', 'beat', 'outweigh', 'surpass', 'overreach', 'outsmart', 'outshout', 'vanquish', 'outwit', 'circumvent', 'shame', 'beat out', 'out-herod', 'outgo', 'outroar', 'outsell', 'crush']"
1516,exculpated,"{'Verb': ['pronounce not guilty of criminal charges'], 'Adjective': ['freed from any question of guilt']}","['cleared', 'guiltless', 'vindicated', 'clean-handed', 'clear', 'exonerated', 'innocent', 'absolved']"
1517,fluctuate,"{'Verb': ['cause to fluctuate or move in a wavelike pattern', 'move or sway in a rising and falling or wavelike pattern', 'be unstable']}","['change state', 'turn']"
1518,rarefied,"{'Verb': ['lessen the density or solidity of', 'make more subtle or refined', 'weaken the consistency of (a chemical substance'], 'Adjective': ['having low density', 'of high moral or intellectual value; elevated in nature or style']}","['rare', 'rarified', 'thin']"
1519,resplendent,{'Adjective': ['having great beauty and splendor']},"['splendiferous', 'splendid', 'beautiful', 'glorious']"
1520,truculent,{'Adjective': ['defiantly aggressive']},['aggressive']
1521,elusive,"{'Adjective': ['difficult to describe', 'skillful at eluding capture', 'difficult to detect or grasp by the mind or analyze', 'making great mental demands; hard to comprehend or solve or believe']}",['artful']
1522,capricious,"{'Adjective': ['changeable', 'determined by chance or impulse or whim rather than by necessity or reason']}","['arbitrary', 'whimsical', 'impulsive']"
1523,readily,"{'Adverb': ['without much difficulty', 'in a punctual manner']}","['promptly', 'pronto']"
1524,recidivism,{'Noun': ['habitual relapse into crime']},"['backsliding', 'lapsing', 'reversion', 'relapse', 'relapsing', 'lapse', 'reverting']"
1525,equivocal,"{'Adjective': ['open to two or more interpretations; or of uncertain nature or significance; or (often', 'or ambiguous', 'open to question', 'uncertain as a sign or indication']}","['forked', 'indeterminate', 'ambiguous', 'evasive', 'double']"
1526,dog,"{'Noun': ['a member of the genus Canis (probably descended from the common wolf', 'a dull unattractive unpleasant girl or woman', 'informal term for a man', 'someone who is morally reprehensible', 'a smooth-textured sausage of minced beef or pork usually smoked; often served on a bread roll', 'a hinged catch that fits into a notch of a ratchet to move a wheel forward or prevent it from moving backward', 'metal supports for logs in a fireplace'], 'Verb': ['go after with the intent to catch']}","['Belgian griffon', 'coach dog', 'barker', 'Canis', 'toy dog', 'pooch', 'Newfoundland dog', 'toy', 'griffon', 'Canis familiaris', 'lapdog', 'doggy', 'canine', 'bow-wow', 'pug-dog', 'carriage dog', 'Leonberg', 'Mexican hairless', 'Brussels griffon', 'Newfoundland', 'corgi', 'spitz', 'domesticated animal', 'pug', 'pack', 'working dog', 'flag', 'domestic dog', 'cur', 'doggie', 'mongrel', 'dalmatian', 'canid', 'poodle', 'genus Canis', 'hunting dog', 'Great Pyrenees', 'mutt', 'basenji', 'puppy', 'domestic animal', 'poodle dog', 'Welsh corgi']"
1527,rectitude,{'Noun': ['righteousness as a consequence of being honorable and honest']},"['righteousness', 'uprightness']"
1528,stipulate,"{'Verb': ['specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement', 'give a guarantee or promise of', 'make an oral contract or agreement in the verbal form of question and answer that is necessary to give it legal force']}","['specify', 'condition', 'contract', 'provide', 'undertake', 'qualify']"
1529,volubility,{'Noun': ['the quality of being facile in speech and writing']},"['communicativeness', 'fluency', 'articulateness']"
1530,demarcate,"{'Verb': ['separate clearly, as if by boundaries', 'set, mark, or draw the boundaries of something']}","['separate', 'differentiate', 'secernate', 'tell', 'distinguish', 'severalise', 'secern', 'severalize', 'tell apart']"
1531,elaborate,"{'Verb': ['add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing', 'produce from basic elements or sources; change into a more developed product', 'make more complex, intricate, or richer', 'work out in detail'], 'Adjective': ['marked by complexity and richness of detail', 'developed or executed with care and in minute detail']}","['luxuriant', 'fancy']"
1532,reconnaissance,{'Noun': ['the act of reconnoitring (especially to gain information about an enemy or potential enemy']},"['exploratory survey', 'intelligence operation', 'shufti', 'air reconnaissance', 'reconnaissance by fire', 'scouting', 'intelligence', 'recce', 'reconnaissance mission', 'reccy', 'recco', 'reconnoitring', 'intelligence activity', 'electronic reconnaissance', 'reconnoitering', 'reconnaissance in force']"
1533,vintage,"{'Noun': [""a season's yield of wine from a vineyard"", 'the oldness of wines']}","['vino', 'wine']"
