,Gregmat,Magoosh,Manhattan,Prep Scholar,Powerscore,Vince Kotchian / Brian McElroy,Greenlight Basic,Greenlight Advanced,,Work,Meaning,,,,,,,,,,,,,
537,prudent,inimitable,lavish,,prosaic,husbandry,,,,,,,,,,,,,,,,,,
538,puerile,inkling,lax,,proselytize,iconoclast,,,,,,,,,,,,,,,,,,
539,pugnacious,innocuous,layperson,,provincial,ideological,,,,,,,,,,,,,,,,,,
540,punctilious,inscrutable,leery,,prudent,idiosyncrasy,,,,,,,,,,,,,,,,,,
541,qualm,insidious,legerdemain,,puerile,idyllic,,,,,,,,,,,,,,,,,,
542,quiescent,insipid,lethargic,,pugilist,ignominy,,,,,,,,,,,,,,,,,,
543,quirky,insolent,levity,,pugnacious,illiberal,,,,,,,,,,,,,,,,,,
544,quixotic,insolvent,levy,,pulchritude,illusory,,,,,,,,,,,,,,,,,,
545,radical,insouciance,liberal,,punctilious,imbroglio,,,,,,,,,,,,,,,,,,
546,rapacious,insufferable,libertine,,pundit,imminent,,,,,,,,,,,,,,,,,,
547,rational,intermittent,licentious,,pungent,immure,,,,,,,,,,,,,,,,,,
548,reconcile,internecine,likewise,,pusillanimous,immutable,,,,,,,,,,,,,,,,,,
549,recondite,intimate,limpid,,putrefy,impassive,,,,,,,,,,,,,,,,,,
550,recourse,intimation,lionize,,quaff,impeccable,,,,,,,,,,,,,,,,,,
551,recrudescent,intransigent,lissome,,quell,impecunious,,,,,,,,,,,,,,,,,,
552,refine,intrepid,listless,,querulous,impeded,,,,,,,,,,,,,,,,,,
553,refute,inundate,livid,,quiescent,impenetrable,,,,,,,,,,,,,,,,,,
554,regress,inure,log,,quixotic,imperative,,,,,,,,,,,,,,,,,,
555,reiterate,invective,loquacious,,quotidian,imperious,,,,,,,,,,,,,,,,,,
556,relinquish,inveterate,lucid,,raconteur,imperturbable,,,,,,,,,,,,,,,,,,
557,relish,invidious,lugubrious,,raiment,impetuous,,,,,,,,,,,,,,,,,,
558,remedial,inviolable,lull,,rancorous,impetus,,,,,,,,,,,,,,,,,,
559,renege,inviolate,lumber,,raucous,impinge,,,,,,,,,,,,,,,,,,
560,renounce,involved,luminous,,raze,implacable,,,,,,,,,,,,,,,,,,
561,repercussion,irascible,lurid,,rebuke,implication,,,,,,,,,,,,,,,,,,
562,replenish,irk,"machination or
machinations",,rebut,implicit,,,,,,,,,,,,,,,,,,
563,reproach,irrefutable,maelstrom,,recalcitrant,imploring,,,,,,,,,,,,,,,,,,
564,repudiate,irresolute,magnanimous,,recondite,importune,,,,,,,,,,,,,,,,,,
565,restive,irrevocable,magnate,,redoubtable,impregnable,,,,,,,,,,,,,,,,,,
566,reticent,itinerant,makeshift,,redress,imprimatur,,,,,,,,,,,,,,,,,,
567,robust,jargon,malediction,,refulgent,impromptu,,,,,,,,,,,,,,,,,,
568,rudimentary,jaundice,malinger,,refute,impudence,,,,,,,,,,,,,,,,,,
569,ruminate,jejune,malleable,,rejoinder,impugn,,,,,,,,,,,,,,,,,,
570,sagacious,jingoism,manifest,,relegate,inalienable,,,,,,,,,,,,,,,,,,
571,salubrious,jingoist,mannered,,remiss,inane,,,,,,,,,,,,,,,,,,
572,salutary,jocular,mar,,remuneration,incandescent,,,,,,,,,,,,,,,,,,
573,sanctimonious,jovial,martinet,,renounce,incensed,,,,,,,,,,,,,,,,,,
574,sanction,jubilant,maudlin,,repast,inchoate,,,,,,,,,,,,,,,,,,
575,sanguine,juggernaut,maverick,,replete,incipient,,,,,,,,,,,,,,,,,,
576,satirical,junta,maxim,,repose,incisive,,,,,,,,,,,,,,,,,,
577,scant,juxtapose,mendacious,,reprehensible,incoherent,,,,,,,,,,,,,,,,,,
578,scathing,kowtow,mendicant,,reproach,incorporate,,,,,,,,,,,,,,,,,,
579,schism,laborious,mercurial,,repudiate,incorrigible,,,,,,,,,,,,,,,,,,
580,scintillating,lacerate,meretricious,,repugnant,inculcate,,,,,,,,,,,,,,,,,,
581,scorn,lachrymose,metamorphosis,,requite,incumbent,,,,,,,,,,,,,,,,,,
582,scrupulous,laconic,metaphysical,,rescind,indefatigable,,,,,,,,,,,,,,,,,,
583,sedulous,lambast,meticulous,,restive,indictment,,,,,,,,,,,,,,,,,,
584,sensational,lampoon,milieu,,reticent,indigenous,,,,,,,,,,,,,,,,,,
585,sever,languid,militate,,revere,indignant,,,,,,,,,,,,,,,,,,
586,sham,languish,mired,,reviler,indomitable,,,,,,,,,,,,,,,,,,
587,skirt,largess,mirth,,rhapsodize,industrious,,,,,,,,,,,,,,,,,,
588,skittish,lascivious,misanthrope or misanthropist,,rhetoric,ineffable,,,,,,,,,,,,,,,,,,
589,skullduggery,laudable,missive,,ribald,ineluctable,,,,,,,,,,,,,,,,,,
590,slander,leery,mitigate,,rococo,inestimable,,,,,,,,,,,,,,,,,,
591,slight,lethargic,modest,,sacrosanct,inexorable,,,,,,,,,,,,,,,,,,
592,sluggish,limpid,modicum,,sagacious,infinitesimal,,,,,,,,,,,,,,,,,,
593,somnolent,lionize,modish,,sage,influx,,,,,,,,,,,,,,,,,,
594,sophisticated,litany,mollify,,salient,ingenious,,,,,,,,,,,,,,,,,,
595,soporific,loath,molt,,salubrious,ingenuous,,,,,,,,,,,,,,,,,,
596,sound,lucid,monastic,,sanctimonious,ingrained,,,,,,,,,,,,,,,,,,
597,spartan,lugubrious,monotony,,sanguine,ingratiate,,,,,,,,,,,,,,,,,,
598,specious,macabre,moreover,,sardonic,inimical,,,,,,,,,,,,,,,,,,
599,spendthrift,machinate,mores,,satiate,inimitable,,,,,,,,,,,,,,,,,,
600,sporadic,magisterial,morose,,schism,innate,,,,,,,,,,,,,,,,,,
601,spurious,magnanimous,multifarious,,scintillating,innocuous,,,,,,,,,,,,,,,,,,
602,stalwart,maintain,mundane,,scoff,inordinate,,,,,,,,,,,,,,,,,,
603,stern,maladroit,munificent,,scrupulous,inscrutable,,,,,,,,,,,,,,,,,,
604,stigmatize,malady,myopic,,sedition,insinuate,,,,,,,,,,,,,,,,,,
605,stinting,malapropism,nadir,,sedulous,insipid,,,,,,,,,,,,,,,,,,
606,stoic,malevolent,naïve,,sentient,insolence,,,,,,,,,,,,,,,,,,
607,strife,malfeasance,nascent,,seraphic,insular,,,,,,,,,,,,,,,,,,
608,stringent,malingerer,negate,,sibilant,integrate,,,,,,,,,,,,,,,,,,
609,subjective,malleable,neologism,,sinecure,interloper,,,,,,,,,,,,,,,,,,
610,subordinate,malodorous,neophyte,,slake,intimate,,,,,,,,,,,,,,,,,,
611,subservient,martial,net,,sobriquet,intrepid,,,,,,,,,,,,,,,,,,
612,subside,martinet,nettle,,solecism,intrinsic,,,,,,,,,,,,,,,,,,
613,subsume,maudlin,nevertheless or nonetheless,,solicitous,intrusive,,,,,,,,,,,,,,,,,,
614,subtle,maunder,noisome,,solvent,inundated,,,,,,,,,,,,,,,,,,
615,subvert,maverick,nominal,,somnolent,inveigh,,,,,,,,,,,,,,,,,,
616,superficial,mawkish,nontrivial,,sonorous,inveigle,,,,,,,,,,,,,,,,,,
617,superfluous,maxim,normative,,sophistry,invidious,,,,,,,,,,,,,,,,,,
618,supersede,meander,notoriety,,soporific,inviolate,,,,,,,,,,,,,,,,,,
619,supplicate,melancholy,novel,,Spartan,irascible,,,,,,,,,,,,,,,,,,
620,surmount,melee,nuance,,specious,irk,,,,,,,,,,,,,,,,,,
621,surreptitious,mellifluous,obdurate,,sportive,ironic,,,,,,,,,,,,,,,,,,
622,synoptic,mendacity,objective,,spurious,irresolute,,,,,,,,,,,,,,,,,,
623,taciturn,mendicant,oblique,,squalid,jargon,,,,,,,,,,,,,,,,,,
624,tact,mercurial,obsequious,,stasis,jejune,,,,,,,,,,,,,,,,,,
625,tangential,mesmerize,obsolete,,stentorian,jettison,,,,,,,,,,,,,,,,,,
626,tantalizing,meteoric,obstinate,,stevedore,jingoism,,,,,,,,,,,,,,,,,,
627,tantamount,meticulous,obviate,,stifle,jocose,,,,,,,,,,,,,,,,,,
628,tarnish,mettlesome,occlude,,stigma,judicious,,,,,,,,,,,,,,,,,,
629,temper,misanthrope,occult,,stoic,juggernaut,,,,,,,,,,,,,,,,,,
630,tempestuous,misattribute,offhand,,stolid,juvenescence,,,,,,,,,,,,,,,,,,
631,temporal,misconstrue,officious,,stricture,juxtapose,,,,,,,,,,,,,,,,,,
632,tenable,miscreant,offset,,stultify,kindle,,,,,,,,,,,,,,,,,,
633,tendentious,miser,onerous,,stymie,kindred,,,,,,,,,,,,,,,,,,
634,tentative,misogynist,opaque,,sublime,kismet,,,,,,,,,,,,,,,,,,
635,tepid,mitigate,opine,,subterfuge,kowtow,,,,,,,,,,,,,,,,,,
636,terse,modicum,opprobrium,,subtle,lachrymose,,,,,,,,,,,,,,,,,,
637,thorough,mollify,optimal,,subversive,lackadaisical,,,,,,,,,,,,,,,,,,
638,timorous,moment,optimum,,succinct,laconic,,,,,,,,,,,,,,,,,,
639,tirade,moot,orotund,,sully,lampoon,,,,,,,,,,,,,,,,,,
640,torpor,mordant,orthodox,,supercilious,languid,,,,,,,,,,,,,,,,,,
641,tortuous,moribund,oscillate,,superfluous,largess,,,,,,,,,,,,,,,,,,
642,tout,morose,ossify,,supplant,lassitude,,,,,,,,,,,,,,,,,,
643,tractable,morph,ostensible or ostensive,,surfeit,latent,,,,,,,,,,,,,,,,,,
644,tranquil,mulct,ostentatious,,surly,laudable,,,,,,,,,,,,,,,,,,
645,transgression,mundane,outstrip,,surreptitious,lax,,,,,,,,,,,,,,,,,,
646,transient,munificent,overshadow,,sybarite,legerdemain,,,,,,,,,,,,,,,,,,
648,transitory,muted,overwrought,,sycophant,lenient,,,,,,,,,,,,,,,,,,
647,trenchant,myopic,palatial,,symbiosis,levity,,,,,,,,,,,,,,,,,,
649,trifling,myriad,palliate,,syncopated,licentious,,,,,,,,,,,,,,,,,,
650,trivial,nadir,pallid,,tacit,lionized,,,,,,,,,,,,,,,,,,
651,truculent,negligible,panache,,taciturn,listless,,,,,,,,,,,,,,,,,,
652,turbulent,nettlesome,panegyric,,tawdry,logorrhea,,,,,,,,,,,,,,,,,,
653,ubiquitous,noisome,panoply,,temerity,loquacious,,,,,,,,,,,,,,,,,,
654,umbrage,nonchalant,paradigm,,temperate,lovelorn,,,,,,,,,,,,,,,,,,
655,undermine,nonplussed,paradox,,tenacious,lucid,,,,,,,,,,,,,,,,,,
656,underscore,nuance,paragon,,toady,lucre,,,,,,,,,,,,,,,,,,
657,understated,obdurate,pare,,tome,ludicrous,,,,,,,,,,,,,,,,,,
658,universal,objurgate,pariah,,torpid,lugubrious,,,,,,,,,,,,,,,,,,
659,unprecedented,obliging,parley,,transient,lumber,,,,,,,,,,,,,,,,,,
660,unscrupulous,oblique,parry,,treacly,luminary,,,,,,,,,,,,,,,,,,
661,unseemly,obscure,partial,,trenchant,lurid,,,,,,,,,,,,,,,,,,
662,upbraid,obsequious,partisan,,trite,macabre,,,,,,,,,,,,,,,,,,
663,urbane,obstinate,pastiche,,truculence,macerate,,,,,,,,,,,,,,,,,,
664,utilitarian,obstreperous,patent,,truncated,machination,,,,,,,,,,,,,,,,,,
665,utterly,obtain,pathogenic,,turgid,maelstrom,,,,,,,,,,,,,,,,,,
666,vacillate,obtuse,pathological,,turpitude,magisterial,,,,,,,,,,,,,,,,,,
667,vanquish,officious,patronizing,,tyro,magnanimous,,,,,,,,,,,,,,,,,,
668,vapid,opaque,paucity,,ubiquitous,magnate,,,,,,,,,,,,,,,,,,
669,venal,opulence,peccadillo,,umbrage,makeshift,,,,,,,,,,,,,,,,,,
670,venerate,ornate,pedant,,unctuous,malevolent,,,,,,,,,,,,,,,,,,
671,veracity,ossify,peddle,,untenable,malfeasance,,,,,,,,,,,,,,,,,,
672,verbose,ostentatious,pedestrian,,upbraid,malign,,,,,,,,,,,,,,,,,,
673,verisimilitude,ostracize,pejorative,,usury,malinger,,,,,,,,,,,,,,,,,,
674,veritable,overweening,pellucid,,vacillate,malleable,,,,,,,,,,,,,,,,,,
675,versatile,palatable,penchant,,vainglorious,manacle,,,,,,,,,,,,,,,,,,
676,vexation,palaver,penitent,,venerated,mandate,,,,,,,,,,,,,,,,,,
677,viable,palimpsest,penumbra,,veracity,manifold,,,,,,,,,,,,,,,,,,
678,vigilant,panacea,penury,,verbose,marginal,,,,,,,,,,,,,,,,,,
679,virulent,panache,per se,,verdant,marshal,,,,,,,,,,,,,,,,,,
680,visionary,panegyric,peregrinate,,verisimilitude,maudlin,,,,,,,,,,,,,,,,,,
681,vitiate,paradoxical,perennial,,vestige,mawkish,,,,,,,,,,,,,,,,,,
682,vivacious,paragon,perfidious,,vicissitude,meager,,,,,,,,,,,,,,,,,,
683,vociferous,pariah,perfunctory,,vim,meddle,,,,,,,,,,,,,,,,,,
684,volatile,parochial,peripatetic,,virtuoso,meld,,,,,,,,,,,,,,,,,,
685,wane,parsimonious,peripheral,,viscous,mellifluous,,,,,,,,,,,,,,,,,,
686,wary,parvenu,permeate,,vitiate,melodramatic,,,,,,,,,,,,,,,,,,
687,wayward,pastoral,pernicious,,vitriolic,mendacity,,,,,,,,,,,,,,,,,,
688,weary,patent,perspicacious,,vituperate,mendicant,,,,,,,,,,,,,,,,,,
689,woeful,patronize,pervasive,,vociferous,menial,,,,,,,,,,,,,,,,,,
690,zealous,paucity,phalanx,,voluble,mephitic,,,,,,,,,,,,,,,,,,
691,,pecuniary,philanthropy,,wane,mercenary,,,,,,,,,,,,,,,,,,
692,,pedantic,philistine,,wanton,mercurial,,,,,,,,,,,,,,,,,,
693,,pedestrian,phlegmatic,,whimsical,meretricious,,,,,,,,,,,,,,,,,,
694,,peevish,phony,,wily,meterological,,,,,,,,,,,,,,,,,,
695,,pejorative,pious,,wistful,meticulous,,,,,,,,,,,,,,,,,,
696,,pellucid,pith,,wizened,mettle,,,,,,,,,,,,,,,,,,
697,,penurious,placate,,wraith,miasma,,,,,,,,,,,,,,,,,,
698,,percipient,placid,,zealous,microcosm,,,,,,,,,,,,,,,,,,
699,,peremptory,plastic,,zenith,milieu,,,,,,,,,,,,,,,,,,
700,,perennial,platitude,,zephyr,milquetoast,,,,,,,,,,,,,,,,,,
701,,perfidy,plausible,,,mimetic,,,,,,,,,,,,,,,,,,
702,,perfunctory,plebian,,,minatory,,,,,,,,,,,,,,,,,,
703,,peripatetic,plethora,,,minion,,,,,,,,,,,,,,,,,,
704,,pernicious,plucky,,,misanthrope,,,,,,,,,,,,,,,,,,
705,,perpetuate,plummet,,,miscreant,,,,,,,,,,,,,,,,,,
706,,perquisite,plutocracy,,,miserly,,,,,,,,,,,,,,,,,,
707,,perspicacious,polarized,,,misnomer,,,,,,,,,,,,,,,,,,
708,,pertinent,polemic,,,mitigate,,,,,,,,,,,,,,,,,,
709,,perturb,politic,,,modicum,,,,,,,,,,,,,,,,,,
710,,peruse,polyglot,,,modish,,,,,,,,,,,,,,,,,,
711,,petulant,ponderous,,,monastic,,,,,,,,,,,,,,,,,,
712,,phantasmagorical,posit,,,morass,,,,,,,,,,,,,,,,,,
713,,philistine,posthumous,,,morbid,,,,,,,,,,,,,,,,,,
714,,phlegmatic,potentate,,,mordant,,,,,,,,,,,,,,,,,,
715,,picayune,pragmatic,,,mores,,,,,,,,,,,,,,,,,,
716,,pillory,prattle,,,moribund,,,,,,,,,,,,,,,,,,
717,,pine,pre-empt,,,morose,,,,,,,,,,,,,,,,,,
718,,pinnacle,preamble,,,motile,,,,,,,,,,,,,,,,,,
719,,piquant,precarious,,,motley,,,,,,,,,,,,,,,,,,
720,,pith,precipitate,,,multifaceted,,,,,,,,,,,,,,,,,,
721,,pithy,précis,,,mundane,,,,,,,,,,,,,,,,,,
722,,pittance,precursor,,,munificent,,,,,,,,,,,,,,,,,,
723,,placate,predilection,,,myopic,,,,,,,,,,,,,,,,,,
724,,placid,predisposed,,,myriad,,,,,,,,,,,,,,,,,,
725,,platitude,prescient,,,nadir,,,,,,,,,,,,,,,,,,
726,,plodding,presumptive,,,naivete,,,,,,,,,,,,,,,,,,
727,,ploy,presumptuous,,,nascent,,,,,,,,,,,,,,,,,,
728,,plucky,pretentious,,,nebulous,,,,,,,,,,,,,,,,,,
729,,poignant,preternatural,,,neophyte,,,,,,,,,,,,,,,,,,
730,,polemic,prevaricate,,,nepotism,,,,,,,,,,,,,,,,,,
731,,Pollyannaish,primacy,,,nettle,,,,,,,,,,,,,,,,,,
732,,ponderous,principled,,,newfangled,,,,,,,,,,,,,,,,,,
733,,pontificate,pristine,,,noisome,,,,,,,,,,,,,,,,,,
734,,portentous,probity,,,non sequitur,,,,,,,,,,,,,,,,,,
735,,posit,proclivity,,,nonchalant,,,,,,,,,,,,,,,,,,
736,,powwow,prodigal,,,nondescript,,,,,,,,,,,,,,,,,,
737,,pragmatic,prodigious,,,nonpareil,,,,,,,,,,,,,,,,,,
738,,precarious,profligate,,,nonplussed,,,,,,,,,,,,,,,,,,
739,,precedent,profound,,,nontrivial,,,,,,,,,,,,,,,,,,
740,,precipitate,profuse,,,normative,,,,,,,,,,,,,,,,,,
741,,precipitous,prohibitive,,,nostalgia,,,,,,,,,,,,,,,,,,
742,,preclude,proliferate,,,nostrum,,,,,,,,,,,,,,,,,,
743,,precocious,prolix,,,notorious,,,,,,,,,,,,,,,,,,
744,,predilection,prologue,,,novel,,,,,,,,,,,,,,,,,,
745,,preempt,pronounced,,,novitiate,,,,,,,,,,,,,,,,,,
746,,preemptive,propagate,,,noxious,,,,,,,,,,,,,,,,,,
747,,prescience,propensity,,,nuance,,,,,,,,,,,,,,,,,,
748,,presentiment,prophetic,,,nugatory,,,,,,,,,,,,,,,,,,
749,,presumption,propitiate,,,obdurate,,,,,,,,,,,,,,,,,,
750,,presumptuous,propitious,,,obeisance,,,,,,,,,,,,,,,,,,
751,,prevail,propriety,,,obfuscated,,,,,,,,,,,,,,,,,,
752,,prevaricate,prosaic,,,objectionable,,,,,,,,,,,,,,,,,,
753,,primacy,proscribe,,,objective,,,,,,,,,,,,,,,,,,
754,,pristine,prospective,,,objurgation,,,,,,,,,,,,,,,,,,
755,,probity,providential,,,obloquy,,,,,,,,,,,,,,,,,,
756,,prodigal,proxy,,,obsequious,,,,,,,,,,,,,,,,,,
757,,prodigious,prudent,,,obstinate,,,,,,,,,,,,,,,,,,
758,,profligate,puerile,,,obstreperous,,,,,,,,,,,,,,,,,,
759,,profuse,pugilism,,,obtrusive,,,,,,,,,,,,,,,,,,
760,,profusion,pugnacious,,,occluded,,,,,,,,,,,,,,,,,,
761,,prognostication,puissance,,,odious,,,,,,,,,,,,,,,,,,
762,,prolific,pulchritude,,,officious,,,,,,,,,,,,,,,,,,
763,,prolixity,pungent,,,offset,,,,,,,,,,,,,,,,,,
764,,promulgate,pusillanimous,,,ogle,,,,,,,,,,,,,,,,,,
765,,propitiate,qualified,,,omission,,,,,,,,,,,,,,,,,,
766,,propitious,quandary,,,omniscient,,,,,,,,,,,,,,,,,,
767,,proponent,querulous,,,onus,,,,,,,,,,,,,,,,,,
768,,prosaic,quibble,,,opaque,,,,,,,,,,,,,,,,,,
769,,proscribe,quiescent,,,openhanded,,,,,,,,,,,,,,,,,,
770,,proselytize,quixotic,,,opine,,,,,,,,,,,,,,,,,,
771,,protean,quotidian,,,opportune,,,,,,,,,,,,,,,,,,
772,,provident,raconteur,,,opprobrium,,,,,,,,,,,,,,,,,,
773,,provincial,ranks,,,opulent,,,,,,,,,,,,,,,,,,
774,,provisional,rarefied,,,ornate,,,,,,,,,,,,,,,,,,
775,,puerile,reactant,,,orthodox,,,,,,,,,,,,,,,,,,
776,,pugnacious,reap,,,oscillate,,,,,,,,,,,,,,,,,,
777,,puissant,recalcitrant,,,ossified,,,,,,,,,,,,,,,,,,
778,,punctilious,recant,,,ostentatious,,,,,,,,,,,,,,,,,,
779,,pundit,recapitulate,,,ostracized,,,,,,,,,,,,,,,,,,
780,,pyrrhic,recluse,,,otiose,,,,,,,,,,,,,,,,,,
781,,quail,recondite,,,outmoded,,,,,,,,,,,,,,,,,,
782,,qualify,recrudescent,,,outstrip,,,,,,,,,,,,,,,,,,
783,,qualm,redound,,,overshadow,,,,,,,,,,,,,,,,,,
784,,quandary,redress,,,overweening,,,,,,,,,,,,,,,,,,
785,,querulous,refractory,,,pacific,,,,,,,,,,,,,,,,,,
786,,quip,refulgent,,,painstaking,,,,,,,,,,,,,,,,,,
787,,quisling,refute,,,palatable,,,,,,,,,,,,,,,,,,
788,,quixotic,rejoinder,,,palatial,,,,,,,,,,,,,,,,,,
789,,quotidian,relegate,,,palimpsest,,,,,,,,,,,,,,,,,,
790,,raconteur,remedial,,,pall,,,,,,,,,,,,,,,,,,
791,,raffish,rend,,,palliate,,,,,,,,,,,,,,,,,,
792,,raft,render,,,pallid,,,,,,,,,,,,,,,,,,
793,,raillery,repast,,,panacea,,,,,,,,,,,,,,,,,,
794,,rakish,repertorial,,,pander,,,,,,,,,,,,,,,,,,
795,,rankle,replete,,,pangs,,,,,,,,,,,,,,,,,,
796,,rapprochement,repose,,,panned,,,,,,,,,,,,,,,,,,
797,,rarefied,reproach,,,paradigm,,,,,,,,,,,,,,,,,,
798,,rash,reprobate,,,paragon,,,,,,,,,,,,,,,,,,
799,,ravenous,repudiate,,,pariah,,,,,,,,,,,,,,,,,,
800,,rebuke,requite,,,parley,,,,,,,,,,,,,,,,,,
801,,recapitulation,rescind,,,parochial,,,,,,,,,,,,,,,,,,
802,,reconcile,resolution,,,parody,,,,,,,,,,,,,,,,,,
803,,recondite,resolve,,,paroxysm,,,,,,,,,,,,,,,,,,
804,,recrimination,respectively,,,parsimonious,,,,,,,,,,,,,,,,,,
805,,recrudesce,restive,,,partiality,,,,,,,,,,,,,,,,,,
806,,redoubtable,resurgent,,,partisan,,,,,,,,,,,,,,,,,,
807,,redress,reticent,,,pastiche,,,,,,,,,,,,,,,,,,
808,,refractory,retrospective,,,pathos,,,,,,,,,,,,,,,,,,
809,,refute,revamp,,,patois,,,,,,,,,,,,,,,,,,
810,,relegate,reverent,,,paucity,,,,,,,,,,,,,,,,,,
811,,remiss,rhetoric,,,pedantic,,,,,,,,,,,,,,,,,,
812,,remonstrate,ribald,,,pedestrian,,,,,,,,,,,,,,,,,,
813,,renege,ridden,,,peevish,,,,,,,,,,,,,,,,,,
814,,replete,rife,,,penchant,,,,,,,,,,,,,,,,,,
815,,reprisal,rift,,,pendulous,,,,,,,,,,,,,,,,,,
816,,reproach,rococo,,,penitent,,,,,,,,,,,,,,,,,,
817,,reprobate,rudimentary,,,penurious,,,,,,,,,,,,,,,,,,
818,,repudiate,rue,,,penury,,,,,,,,,,,,,,,,,,
819,,rescind,ruminate,,,peons,,,,,,,,,,,,,,,,,,
820,,reservation,rustic,,,peregrinate,,,,,,,,,,,,,,,,,,
821,,resignation,sacrosanct,,,peremptory,,,,,,,,,,,,,,,,,,
822,,resolve,sagacious,,,perennial,,,,,,,,,,,,,,,,,,
823,,respite,salient,,,perfidy,,,,,,,,,,,,,,,,,,
824,,restive,salubrious,,,perfunctory,,,,,,,,,,,,,,,,,,
825,,resurgent,sanction,,,peripatetic,,,,,,,,,,,,,,,,,,
826,,reticent,sanguine,,,peripheral,,,,,,,,,,,,,,,,,,
827,,retiring,sap,,,permeated,,,,,,,,,,,,,,,,,,
828,,retract,sardonic,,,permutation,,,,,,,,,,,,,,,,,,
829,,reverent,satiate or sate,,,pernicious,,,,,,,,,,,,,,,,,,
830,,ribald,saturate,,,perquisites,,,,,,,,,,,,,,,,,,
831,,rile,savant,,,personified,,,,,,,,,,,,,,,,,,
832,,robust,savor,,,perspicacious,,,,,,,,,,,,,,,,,,
833,,row,scant,,,pertinacious,,,,,,,,,,,,,,,,,,
834,,rudimentary,scathing,,,perturb,,,,,,,,,,,,,,,,,,
835,,rustic,scintilla,,,pervasive,,,,,,,,,,,,,,,,,,
836,,sagacious,scurvy,,,perverse,,,,,,,,,,,,,,,,,,
837,,sanctimonious,searchingly,,,petulant,,,,,,,,,,,,,,,,,,
838,,sanction,secrete,,,philander,,,,,,,,,,,,,,,,,,
839,,sangfroid,secular,,,phlegmatic,,,,,,,,,,,,,,,,,,
840,,sanguine,sedition,,,physiological,,,,,,,,,,,,,,,,,,
841,,sardonic,sedulous,,,picaresque,,,,,,,,,,,,,,,,,,
842,,sartorial,semantic,,,picayune,,,,,,,,,,,,,,,,,,
843,,saturnine,sentient,,,picturesque,,,,,,,,,,,,,,,,,,
844,,savvy,seraphic,,,piebald,,,,,,,,,,,,,,,,,,
845,,schadenfreude,shard,,,pilfer,,,,,,,,,,,,,,,,,,
846,,scintillating,simultaneous,,,pillory,,,,,,,,,,,,,,,,,,
847,,screed,sinecure,,,pinnacle,,,,,,,,,,,,,,,,,,
848,,scrupulous,skeptic,,,pioneering,,,,,,,,,,,,,,,,,,
849,,sedulous,skirt,,,piquant,,,,,,,,,,,,,,,,,,
850,,self-effacing,skittish,,,pitfall,,,,,,,,,,,,,,,,,,
851,,semblance,slack,,,pith,,,,,,,,,,,,,,,,,,
852,,sententious,slake,,,pittance,,,,,,,,,,,,,,,,,,
853,,sentimental,slew,,,pivotal,,,,,,,,,,,,,,,,,,
854,,serendipity,slight,,,placate,,,,,,,,,,,,,,,,,,
855,,serene,sobriquet,,,plaintive,,,,,,,,,,,,,,,,,,
856,,simulacrum,solecism,,,platitude,,,,,,,,,,,,,,,,,,
857,,sinecure,solicitous,,,platonic,,,,,,,,,,,,,,,,,,
858,,slapdash,solidarity,,,plaudits,,,,,,,,,,,,,,,,,,
859,,smattering,somatic,,,plausible,,,,,,,,,,,,,,,,,,
860,,smug,soporific,,,plebeian,,,,,,,,,,,,,,,,,,
861,,snide,sound,,,plenipotentiary,,,,,,,,,,,,,,,,,,
862,,snub,spartan,,,pluck,,,,,,,,,,,,,,,,,,
863,,solecism,spate,,,plutocracy,,,,,,,,,,,,,,,,,,
864,,solicitous,spearhead,,,polarize,,,,,,,,,,,,,,,,,,
865,,solicitude,specious,,,polemic,,,,,,,,,,,,,,,,,,
866,,soporific,spectrum,,,politesse,,,,,,,,,,,,,,,,,,
867,,sordid,speculate,,,politic,,,,,,,,,,,,,,,,,,
868,,spartan,sporadic,,,pomp,,,,,,,,,,,,,,,,,,
869,,specious,sportive,,,ponderous,,,,,,,,,,,,,,,,,,
870,,spendthrift,squalid,,,portentous,,,,,,,,,,,,,,,,,,
871,,splenetic,squelch,,,poseur,,,,,,,,,,,,,,,,,,
872,,sporadic,standing,,,posit,,,,,,,,,,,,,,,,,,
873,,spurious,stark,,,posthumous,,,,,,,,,,,,,,,,,,
874,,spurn,stasis,,,pragmatic,,,,,,,,,,,,,,,,,,
875,,squander,static,,,prattle,,,,,,,,,,,,,,,,,,
876,,squelch,status quo,,,precarious,,,,,,,,,,,,,,,,,,
877,,staid,steeped,,,precocious,,,,,,,,,,,,,,,,,,
878,,stalwart,stentorian,,,precursor,,,,,,,,,,,,,,,,,,
879,,start,stigma,,,predilection,,,,,,,,,,,,,,,,,,
880,,staunch,stingy,,,premonition,,,,,,,,,,,,,,,,,,
881,,steadfast,stint,,,prescient,,,,,,,,,,,,,,,,,,
882,,stem,stipulate,,,pretext,,,,,,,,,,,,,,,,,,
883,,stipend,stoic or stoical,,,prevarication,,,,,,,,,,,,,,,,,,
884,,stolid,stolid,,,primed,,,,,,,,,,,,,,,,,,
885,,stringent,stratagem,,,primordial,,,,,,,,,,,,,,,,,,
886,,stultify,stratum,,,pristine,,,,,,,,,,,,,,,,,,
887,,stymie,strut,,,proclivity,,,,,,,,,,,,,,,,,,
888,,subsume,stymie or stymy,,,prodigal,,,,,,,,,,,,,,,,,,
889,,subterfuge,subjective,,,prodigious,,,,,,,,,,,,,,,,,,
